attendee_type_id,attendee_type_name,country_name,city_name,demora15min,nom_week_day,attendees
42209,Regulators,Colombia,Cali,75,Tue,3
38497,Student,Colombia,Bogotá,15,Wed,1
40592,Student,France,Roubaix,0,Fri,2
36310,Regulators,Chile,La Florida,0,Wed,1
42994,Consultant,Colombia,Bogotá,15,Wed,3
37024,Student,Chile,La Florida,105,Wed,1
43928,Student,Colombia,Sopó,15,Sun,7
39897,Visitors,Colombia,Medellín,15,Thu,1
40810,Exhibitors,Chile,Santiago,15,Thu,3
41229,Staff,Colombia,Bogotá,45,Thu,1
42590,Buyers,Chile,Las Condes,0,Tue,68
40255,Buyers,Colombia,Bogotá,15,Thu,1
38362,Regulators,Colombia,Cali,15,Sat,1
39228,Consultant,Colombia,Bogotá,15,Fri,1
37753,Student,Chile,Providencia,120,Wed,1
37346,Regulators,France,Angoulême,30,Wed,2
36155,Student,Colombia,Bogotá,15,Tue,1
330,Sellers,Colombia,Medellín,0,Thu,5
40175,Buyers,Colombia,Bogotá,15,Thu,1
36992,Exhibitors,Colombia,Bogotá,120,Sat,3
42994,Buyers,Colombia,Bogotá,15,Wed,5
39017,Visitors,Colombia,Bogotá,45,Wed,2
41330,Staff,Colombia,Bogotá,> 120,Wed,1
37695,Buyers,Colombia,Bogotá,0,Fri,3
40476,Staff,Colombia,Bogotá,15,Tue,2
39856,Buyers,Colombia,Bogotá,0,Thu,1
37831,Buyers,Colombia,Medellín,0,Wed,28
40476,Staff,Colombia,Bogotá,0,Tue,5
1118,Student,Colombia,Medellín,0,Thu,169
37166,Student,Colombia,Bogotá,0,Fri,1
38964,Student,Colombia,Bogotá,30,Tue,3
35838,Regulators,Colombia,Bogotá,0,Thu,6
37980,Asistant,Colombia,Bogotá,45,Fri,3
41180,Staff,Chile,Vitacura,0,Thu,2
897,Student,Colombia,Medellín,0,Fri,166
42358,Student,Colombia,Bogotá,45,Thu,8
3321,Student,Colombia,Medellín,0,Thu,76
37586,Staff,France,Montpellier,0,Wed,3
40490,Student,Colombia,Bogotá,15,Tue,3
41330,Staff,Colombia,Bogotá,0,Wed,2
38129,Consultant,Colombia,Bogotá,0,Thu,1
38964,Buyers,Colombia,Bogotá,0,Tue,31
41553,Buyers,Colombia,Medellín,0,Wed,7
1915,Student,Colombia,Barranquilla,60,Thu,3
1168,Student,Colombia,Envigado,0,Wed,17
40326,Student,Chile,Providencia,> 120,Wed,2
40810,Student,Chile,Santiago,90,Thu,1
42996,Consultant,Colombia,Bogotá,15,Wed,1
38506,Buyers,Colombia,Bogotá,0,Fri,7
3071,Student,Colombia,Bogotá,> 120,Tue,1
43440,Buyers,Colombia,Bogotá,15,Wed,1
42199,Student,Chile,Las Condes,0,Tue,2
37677,Staff,Chile,La Florida,105,Thu,1
39856,Buyers,Colombia,Bogotá,105,Thu,1
40871,Regulators,Colombia,Bogotá,15,Thu,1
42356,Student,Colombia,Bogotá,15,Thu,2
35562,Regulators,Colombia,Bogotá,0,Wed,11
37054,Student,Colombia,Bogotá,15,Tue,2
36998,Student,Colombia,Bogotá,15,Wed,3
39602,Staff,Chile,Las Condes,0,Wed,8
4066,Sellers,Spain,Madrid,0,Tue,16
42356,Consultant,Colombia,Bogotá,15,Thu,2
42634,Exhibitors,Chile,Las Condes,> 120,Tue,1
2565,Asistant,Colombia,Medellín,15,Fri,19
36165,Student,Colombia,Bogotá,0,Wed,4
2438,Student,Colombia,Medellín,90,Thu,8
40356,Buyers,Colombia,Bogotá,0,Wed,5
39602,Exhibitors,Chile,Las Condes,0,Wed,18
35958,Sellers,Chile,La Florida,15,Thu,2
40810,Regulators,Chile,Santiago,90,Thu,2
38978,Exhibitors,Chile,Las Condes,0,Fri,9
1440,Student,Colombia,Medellín,0,Tue,35
42080,Student,Colombia,Medellín,60,Thu,1
43199,Buyers,Colombia,Bogotá,15,Wed,5
37311,Student,Colombia,Bogotá,0,Thu,3
38114,Visitors,Chile,Las Condes,15,Tue,1
34127,Buyers,Colombia,Bogotá,15,Wed,6
41553,Buyers,Colombia,Medellín,30,Wed,27
